PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-R6XRM1,3275,94822040,Blue,Blue,Large,333,1
PID-R6XRM1,3275,94822062,Brown,Brown,Small,333,1
PID-R6XRM1,3275,94822041,Blue,Blue,X Large,333,1
PID-R6XRM1,3275,94822063,Brown,Brown,Medium,333,1
PID-R6XRM1,3275,94822061,Brown,Brown,X Small,333,1
PID-R6XRM1,3275,94981528,Pink,Pink,X Small,333,1
PID-R6XRM1,3275,94822033,White,White,Medium,333,1
PID-R6XRM1,3275,94822077,Black,Ebony,X Large,333,1
PID-R6XRM1,3275,94981531,Pink,Pink,Large,333,1
PID-R6XRM1,3275,94822034,White,White,Large,333,1
PID-R6XRM1,3275,94822078,Black,Ebony,XX Large,333,1
PID-R6XRM1,3275,94981530,Pink,Pink,Medium,333,1
PID-R6XRM1,3275,94822031,White,White,X Small,333,1
PID-R6XRM1,3275,94822075,Black,Ebony,Medium,333,1
PID-R6XRM1,3275,94822032,White,White,Small,333,1
PID-R6XRM1,3275,94822076,Black,Ebony,Large,333,1
PID-R6XRM1,3275,94822073,Black,Ebony,X Small,333,1
PID-R6XRM1,3275,94822074,Black,Ebony,Small,333,1
PID-R6XRM1,3275,94981533,Pink,Pink,XX Large,333,1
PID-R6XRM1,3275,94981532,Pink,Pink,X Large,333,1
PID-R6XRM1,3275,94981529,Pink,Pink,Small,333,1
PID-R6XRM1,3275,94822039,Blue,Blue,Medium,333,1
PID-R6XRM1,3275,94822037,Blue,Blue,X Small,333,1
PID-R6XRM1,3275,94822038,Blue,Blue,Small,333,1
PID-R6XRM1,3275,94822035,White,White,X Large,333,1
PID-R6XRM1,3275,94822036,White,White,XX Large,333,1
PID-R6Z120,8924,94770603,Off-White,Cream,Medium,333,1
PID-R6Z120,8924,94770614,Red,Red,Medium,333,1
PID-R6Z120,8924,94770602,Off-White,Cream,Small,333,1
PID-R6Z120,8924,94770613,Red,Red,Small,333,1
PID-R6Z120,8924,94770601,Off-White,Cream,X Small,333,1
PID-R6Z120,8924,94770612,Red,Red,X Small,333,1
PID-R6Z120,8924,1004023720,Black,Black,X Large,333,1
PID-R6Z120,8924,94770611,Black,Black,XX Large,333,1
PID-R6Z120,8924,94770610,Black,Black,Large,333,1
PID-R6Z120,8924,94770609,Black,Black,Medium,333,1
PID-R6Z120,8924,94770608,Black,Black,Small,333,1
PID-R6Z120,8924,94770607,Black,Black,X Small,333,1
PID-R6Z120,8924,94770606,Off-White,Cream,XX Large,333,1
PID-R6Z120,8924,94770617,Red,Red,XX Large,333,1
PID-R6Z120,8924,94770605,Off-White,Cream,X Large,333,1
PID-R6Z120,8924,94770616,Red,Red,X Large,333,1
PID-R6Z120,8924,94770604,Off-White,Cream,Large,333,1
PID-R6Z120,8924,94770615,Red,Red,Large,333,1
PID-WR1M7X,7423,1010545048,Blue,Blue,X Small,333,2
PID-WR1M7X,7423,95298315,Red,Berry Red,Small,333,2
PID-WR1M7X,7423,95298293,Blue,Blue,Medium,333,2
PID-WR1M7X,7423,95298316,Red,Berry Red,Medium,333,2
PID-WR1M7X,7423,1010545077,Red,Berry Red,X Large,333,2
PID-WR1M7X,7423,95298317,Red,Berry Red,Large,333,2
PID-WR1M7X,7423,1010545051,Blue,Blue,X Large,333,2
PID-WR1M7X,7423,1010545050,Blue,Blue,Small,333,2
PID-WR1M7X,7423,95298295,Blue,Blue,Large,333,2
PID-WR1M7X,7423,94843195,Pink,Pink,XX Large,333,2
PID-WR1M7X,7423,94843193,Pink,Pink,Large,333,2
PID-WR1M7X,7423,94843191,Pink,Pink,Small,333,2
PID-WR1M7X,7423,94843145,Blue,Blue,Large,333,2
PID-WR1M7X,7423,94843143,Blue,Blue,Small,333,2
PID-WR1M7X,7423,94843144,Blue,Blue,Medium,333,2
PID-WR1M7X,7423,94843142,Blue,Blue,X Small,333,2
PID-WR1M7X,7423,94843194,Pink,Pink,X Large,333,2
PID-WR1M7X,7423,94843146,Blue,Blue,X Large,333,2
PID-WR1M7X,7423,94843192,Pink,Pink,Medium,333,2
PID-WR1M7X,7423,94843147,Blue,Blue,XX Large,333,2
PID-WR1M7X,7423,94843190,Pink,Pink,X Small,333,2
PID-WR1M7X,7423,95298314,Red,Berry Red,X Small,333,2
PID-WR1M7X,7423,95298318,Red,Berry Red,XX Large,333,2
PID-WR1M7X,7423,1010545052,Blue,Blue,XX Large,333,2
PID-WR40KX,8924,94609206,Beige,Tan,Large,333,0
PID-WR40KX,8924,94609205,Beige,Tan,Medium,333,0
PID-WR40KX,8924,94609204,Beige,Tan,Small,333,0
PID-WR40KX,8924,94609203,Beige,Tan,X Small,333,0
PID-WR40KX,8924,94609208,Beige,Tan,XX Large,333,0
PID-WR40KX,8924,94609207,Beige,Tan,X Large,333,0
PID-WR4ZL1,14472,94609122,,,,333,
PID-WR4ZL1,14472,94609089,,,,333,
PID-WR4ZL1,14472,94609107,,,,333,
PID-WR4ZL1,14472,94609118,,,,333,
PID-WR4ZL1,14472,94609106,,,,333,
PID-WR4ZL1,14472,94609117,,,,333,
PID-WR4ZL1,14472,94609105,,,,333,
PID-WR4ZL1,14472,94609121,,,,333,
PID-WR4ZL1,14472,94609088,,,,333,
PID-WR4ZL1,14472,94609110,,,,333,
PID-WR4ZL1,14472,94609120,,,,333,
PID-WR4ZL1,14472,94609087,,,,333,
PID-WR4ZL1,14472,94609086,,,,333,
PID-WR4ZL1,14472,94609085,,,,333,
PID-WR4ZL1,14472,94609090,,,,333,
PID-WR4ZL1,14472,94609109,,,,333,
PID-WR4ZL1,14472,94609119,,,,333,
PID-WR4ZL1,14472,94609108,,,,333,
PID-WR81KM,2185,95298138,Off-White,Off-White,XX Large,333,1
PID-WR81KM,2185,1010544723,Off-White,Off-White,X Small,333,1
PID-WR81KM,2185,95298134,Off-White,Off-White,Small,333,1
PID-WR81KM,2185,95298136,Off-White,Off-White,Large,333,1
PID-WR81KM,2185,95298135,Off-White,Off-White,Medium,333,1
PID-WR81KM,2185,95298137,Off-White,Off-White,X Large,333,1
PID-WR89G1,3275,95298024,Brown,Brown,Small,333,1
PID-WR89G1,3275,95298025,Brown,Brown,Medium,333,1
PID-WR89G1,3275,95298026,Brown,Brown,Large,333,1
PID-WR89G1,3275,95298032,Black,Ebony,Small,333,1
PID-WR89G1,3275,95298023,Brown,Brown,X Small,333,1
PID-WR89G1,3275,1010544619,Black,Ebony,XX Large,333,1
PID-WR89G1,3275,1010544617,Black,Ebony,Large,333,1
PID-WR89G1,3275,1010544618,Black,Ebony,X Large,333,1
PID-WR89G1,3275,1010544604,Purple,Purple,X Large,333,1
PID-WR89G1,3275,1010544615,Black,Ebony,X Small,333,1
PID-WR89G1,3275,1010544605,Purple,Purple,XX Large,333,1
PID-WR89G1,3275,1010544616,Black,Ebony,Medium,333,1
PID-WR89G1,3275,1010544602,Purple,Purple,Medium,333,1
PID-WR89G1,3275,1010544613,Brown,Brown,XX Large,333,1
PID-WR89G1,3275,1010544603,Purple,Purple,Large,333,1
PID-WR89G1,3275,1010544600,Purple,Purple,X Small,333,1
PID-WR89G1,3275,1011685241,Red,Red,XX Large,333,1
PID-WR89G1,3275,1010544601,Purple,Purple,Small,333,1
PID-WR89G1,3275,1010544612,Brown,Brown,X Large,333,1
PID-WR89G1,3275,1011685240,Red,Red,X Large,333,1
PID-WR89G1,3275,1011685238,Red,Red,Medium,333,1
PID-WR89G1,3275,1011685239,Red,Red,Large,333,1
PID-WR89G1,3275,1011685236,Red,Red,X Small,333,1
